lempos,lemma,PoS_CLAN,n,PoS_type
nnnnnoooooooo@wplay,nnnnnoooooooo,wplay,1,non-lexical
no@co,no,co,624,non-lexical
no@qn,no,qn,531,non-lexical
no_bot@wplay,no_bot,wplay,1,non-lexical
noah@n:prop,noah,n:prop,1,non-lexical
nobleman@n,nobleman,n,3,lexical
nobody@adj,nobody,adj,1,lexical
nobody@pro:indef,nobody,pro:indef,63,non-lexical
nod@adj,nod,adj,2,lexical
nod@n,nod,n,3,lexical
nod@part,nod,part,3,lexical
nod@v,nod,v,20,lexical
nog@n:prop,nog,n:prop,3,non-lexical
nohut@unk,nohut,unk,1,non-lexical
noi@adj,noi,adj,3,lexical
noi@n:prop,noi,n:prop,27,non-lexical
noise@adj,noise,adj,14,lexical
noise@adv,noise,adv,3,non-lexical
noise@n,noise,n,115,lexical
non@adj,non,adj,1,lexical
none@pro:indef,none,pro:indef,27,non-lexical
nonetheless@adv,nonetheless,adv,1,non-lexical
noo@co,noo,co,1,non-lexical
noodle@n,noodle,n,5,lexical
nook@n,nook,n,3,lexical
noon@n,noon,n,1,lexical
noonu@wplay,noonu,wplay,1,non-lexical
nooo@co,nooo,co,1,non-lexical
nooo@wplay,nooo,wplay,1,non-lexical
nooooo@wplay,nooooo,wplay,1,non-lexical
nooooooo@co,nooooooo,co,3,non-lexical
nooooooo@wplay,nooooooo,wplay,2,non-lexical
noooooooo@co,noooooooo,co,1,non-lexical
nooooooooo@co,nooooooooo,co,1,non-lexical
noooooooooo@co,noooooooooo,co,1,non-lexical
nope@co,nope,co,1,non-lexical
nopqrstuvwxyz@n:let,nopqrstuvwxyz,n:let,1,non-lexical
nor@coord,nor,coord,18,non-lexical
normal@adj,normal,adj,11,lexical
normal@adv,normal,adv,9,lexical
norman@adj,norman,adj,3,lexical
norman@n:prop,norman,n:prop,39,non-lexical
normandy@n:prop,normandy,n:prop,1,non-lexical
north@adj,north,adj,13,lexical
north@n,north,n,3,lexical
norway@n:prop,norway,n:prop,1,non-lexical
nose@adj,nose,adj,1,lexical
nose@n,nose,n,125,lexical
nose@part,nose,part,1,lexical
nose@v,nose,v,1,lexical
nosey@adj,nosey,adj,1,lexical
nostril@n,nostril,n,3,lexical
not@neg,not,neg,1287,non-lexical
note@n,note,n,31,lexical
note@v,note,v,2,lexical
notebook@n,notebook,n,13,lexical
nothing@adj,nothing,adj,2,lexical
nothing@pro:indef,nothing,pro:indef,162,non-lexical
notice@adj,notice,adj,1,lexical
notice@n,notice,n,26,lexical
notice@part,notice,part,16,lexical
notice@v,notice,v,66,lexical
notion@n,notion,n,1,lexical
notmuncher@n:prop,notmuncher,n:prop,1,non-lexical
notmunchers@n:prop,notmunchers,n:prop,1,non-lexical
noun@n,noun,n,4,lexical
november@n:prop,november,n:prop,2,non-lexical
now@adv,now,adv,765,non-lexical
nowadays@adv:tem,nowadays,adv:tem,2,non-lexical
nowhere@adv,nowhere,adv,11,non-lexical
nowhere@n,nowhere,n,4,lexical
nozzle@n,nozzle,n,1,lexical
nu@co,nu,co,3,non-lexical
nude@n,nude,n,3,lexical
nudge@n,nudge,n,1,lexical
nudge@part,nudge,part,1,lexical
nudge@v,nudge,v,2,lexical
nuisance@n,nuisance,n,4,lexical
number@n,number,n,35,lexical
number@v,number,v,4,lexical
numerous@adj,numerous,adj,2,lexical
nunga@co,nunga,co,8,non-lexical
nungaaaaa@co,nungaaaaa,co,1,non-lexical
nurse@adj,nurse,adj,2,lexical
nurse@n,nurse,n,77,lexical
nurse@v,nurse,v,2,lexical
nursery@n,nursery,n,5,lexical
nut@adj,nut,adj,1,lexical
nut@n,nut,n,30,lexical
nutbrown@n:prop,nutbrown,n:prop,21,non-lexical
nutritious@adj,nutritious,adj,2,lexical
nuts@adj,nuts,adj,15,lexical
nuzzle@v,nuzzle,v,1,lexical
nyaaow@co,nyaaow,co,3,non-lexical
o'cake@n:prop,o'cake,n:prop,1,non-lexical
o'clock@n,o'clock,n,51,lexical
o@n:let,o,n:let,15,non-lexical
o_o_o_o@co,o_o_o_o,co,1,non-lexical
oak@n,oak,n,4,lexical
oar@n,oar,n,4,lexical
oat@n,oat,n,2,lexical
oatmeal@adj,oatmeal,adj,1,lexical
obedient@adj,obedient,adj,1,lexical
obedient@adv,obedient,adv,4,lexical
obey@v,obey,v,12,lexical
object@n,object,n,1,lexical
object@part,object,part,1,lexical
object@v,object,v,5,lexical
oblige@adv,oblige,adv,2,non-lexical
oblige@n,oblige,n,1,lexical
oblige@part,oblige,part,1,lexical
oblong@adj,oblong,adj,1,lexical
observatory@n,observatory,n,1,lexical
observe@v,observe,v,2,lexical
obvious@adj,obvious,adj,3,lexical
obvious@adv,obvious,adv,16,lexical
occasion@adj,occasion,adj,3,lexical
occasion@adv,occasion,adv,3,non-lexical
occasion@n,occasion,n,5,lexical
occupy@n,occupy,n,1,lexical
occupy@part,occupy,part,1,lexical
occur@part,occur,part,3,lexical
occur@v,occur,v,5,lexical
ocean@n,ocean,n,18,lexical
och@co,och,co,1,non-lexical
october@n:prop,october,n:prop,3,non-lexical
octopus@n,octopus,n,2,lexical
oda@unk,oda,unk,1,non-lexical
odd@adj,odd,adj,17,lexical
odd@adv,odd,adv,1,lexical
oddbod@n:prop,oddbod,n:prop,7,non-lexical
of@prep,of,prep,4318,non-lexical
off@adv,off,adv,330,lexical
off@prep,off,prep,232,non-lexical
offend@part,offend,part,2,lexical
offer@n,offer,n,6,lexical
offer@n:gerund,offer,n:gerund,1,lexical
offer@part,offer,part,3,lexical
offer@v,offer,v,8,lexical
office@n,office,n,16,lexical
officer@n,officer,n,1,lexical
official@n,official,n,2,lexical
offs@meta,offs,meta,1,non-lexical
often@adv,often,adv,56,non-lexical
ogre@adj,ogre,adj,1,lexical
ogre@n,ogre,n,2,lexical
oh@co,oh,co,537,non-lexical
oh_h_h_h@co,oh_h_h_h,co,1,non-lexical
ohhhh@co,ohhhh,co,1,non-lexical
oi@co,oi,co,6,non-lexical
oi_felt@n:prop,oi_felt,n:prop,1,non-lexical
oil@n,oil,n,5,lexical
oil@v,oil,v,1,lexical
oink@on,oink,on,2,non-lexical
okay@adj,okay,adj,32,lexical
okay@co,okay,co,39,non-lexical
ola@adj,ola,adj,1,lexical
ola@n:prop,ola,n:prop,26,non-lexical
old@adj,old,adj,445,lexical
olive@adj,olive,adj,2,lexical
olive@n,olive,n,3,lexical
ollie@n:prop,ollie,n:prop,2,non-lexical
ology@meta,ology,meta,2,non-lexical
olwen@adj,olwen,adj,1,lexical
olwen@n:prop,olwen,n:prop,7,non-lexical
olympic@n:prop,olympic,n:prop,1,non-lexical
omoni@n:prop,omoni,n:prop,23,non-lexical
omphalophobia@n,omphalophobia,n,1,lexical
on@adv,on,adv,590,non-lexical
on@prep,on,prep,1936,non-lexical
once@adv,once,adv,218,non-lexical
once@conj,once,conj,14,non-lexical
one@adj,one,adj,4,lexical
one@det:num,one,det:num,831,non-lexical
one@n,one,n,24,lexical
one@pro:indef,one,pro:indef,478,non-lexical
one@qn,one,qn,1,non-lexical
onion@n,onion,n,6,lexical
onlooker@n,onlooker,n,2,lexical
only@adv,only,adv,245,non-lexical
only@qn,only,qn,88,non-lexical
onto@prep,onto,prep,32,non-lexical
onwards@adv,onwards,adv,2,non-lexical
oof@co,oof,co,3,non-lexical
ooh@co,ooh,co,3,non-lexical
ooh@v,ooh,v,24,lexical
oonga@wplay,oonga,wplay,2,non-lexical
ooococccoaaaaahhhhhh@co,ooococccoaaaaahhhhhh,co,1,non-lexical
oooh@co,oooh,co,2,non-lexical
oooohhh@co,oooohhh,co,1,non-lexical
oooooaaaarrrroooooooaaaaarghh@co,oooooaaaarrrroooooooaaaaarghh,co,1,non-lexical
oooooh@co,oooooh,co,1,non-lexical
oooooollld@wplay,oooooollld,wplay,1,non-lexical
ooooooooh@co,ooooooooh,co,1,non-lexical
oooow@co,oooow,co,1,non-lexical
ooops@co,ooops,co,2,non-lexical
oop@co,oop,co,3,non-lexical
oops@co,oops,co,5,non-lexical
oopsy@co,oopsy,co,1,non-lexical
ooww@co,ooww,co,1,non-lexical
ooze@adj,ooze,adj,1,lexical
ooze@part,ooze,part,1,lexical
ooze@v,ooze,v,2,lexical
open@adj,open,adj,65,lexical
open@n,open,n,6,lexical
open@n:gerund,open,n:gerund,4,lexical
open@part,open,part,28,lexical
open@v,open,v,187,lexical
opera@n,opera,n,1,lexical
operate@n,operate,n,5,lexical
operate@part,operate,part,1,lexical
ophthalmology@n,ophthalmology,n,1,lexical
opinionated@adj,opinionated,adj,1,lexical
opponent@n,opponent,n,1,lexical
opportunity@n,opportunity,n,1,lexical
opposite@adj,opposite,adj,1,lexical
opposite@n,opposite,n,5,lexical
opposite@prep,opposite,prep,4,non-lexical
optimism@n,optimism,n,1,lexical
option@n,option,n,1,lexical
or@coord,or,coord,547,non-lexical
orange@adj,orange,adj,27,lexical
orange@n,orange,n,22,lexical
orb@n,orb,n,2,lexical
orbit@v,orbit,v,1,lexical
orchard@n,orchard,n,6,lexical
orchestra@n,orchestra,n,3,lexical
order@n,order,n,16,lexical
order@n:gerund,order,n:gerund,1,lexical
order@part,order,part,7,lexical
order@v,order,v,29,lexical
ordinary@adj,ordinary,adj,16,lexical
ordinary@n,ordinary,n,10,lexical
org@unk,org,unk,1,non-lexical
organ@n,organ,n,2,lexical
organize@part,organize,part,1,lexical
orinoco@n:prop,orinoco,n:prop,8,non-lexical
orion@n:prop,orion,n:prop,20,non-lexical
ornament@adj,ornament,adj,1,lexical
ornament@n,ornament,n,2,lexical
ornament@v,ornament,v,1,lexical
ornate@adj,ornate,adj,3,lexical
orphan@n,orphan,n,4,lexical
orphan@v,orphan,v,1,lexical
orphanage@n,orphanage,n,4,lexical
osiris@n:prop,osiris,n:prop,1,non-lexical
other@adj,other,adj,5,lexical
other@pro:indef,other,pro:indef,8,non-lexical
other@qn,other,qn,367,non-lexical
others@n:pt,others,n:pt,44,lexical
otherwise@adv,otherwise,adv,8,non-lexical
otter@n,otter,n,2,lexical
ouch@n,ouch,n,14,lexical
ouchhhhhhhh@co,ouchhhhhhhh,co,1,non-lexical
ought@mod,ought,mod,16,non-lexical
ounce@n,ounce,n,1,lexical
our@det:poss,our,det:poss,187,non-lexical
ours@pro:poss,ours,pro:poss,4,non-lexical
ourselves@pro:refl,ourselves,pro:refl,2,non-lexical
out@adv,out,adv,1149,non-lexical
out@n,out,n,3,lexical
out@prep,out,prep,192,non-lexical
outclass@part,outclass,part,1,lexical
outcry@n,outcry,n,1,lexical
outdoors@n,outdoors,n,1,lexical
outer@adj,outer,adj,2,lexical
outfeet@wplay,outfeet,wplay,1,non-lexical
outfit@n,outfit,n,2,lexical
outline@n,outline,n,6,lexical
outrage@n,outrage,n,1,lexical
outrage@part,outrage,part,1,lexical
outside@adj,outside,adj,18,lexical
outside@adv,outside,adv,59,non-lexical
outside@n,outside,n,7,lexical
outside@prep,outside,prep,30,non-lexical
outsider@n,outsider,n,1,lexical
outward@n:adj,outward,n:adj,1,lexical
outwit@v,outwit,v,5,lexical
oval@adj,oval,adj,2,lexical
oven@n,oven,n,10,lexical
over@adj,over,adj,1,lexical
over@adv,over,adv,280,non-lexical
over@prep,over,prep,276,non-lexical
overhead@adv,overhead,adv,7,non-lexical
overjoyed@adj,overjoyed,adj,3,lexical
overlook@part,overlook,part,1,lexical
overnight@adj,overnight,adj,1,lexical
overnight@adv,overnight,adv,4,non-lexical
ow@co,ow,co,15,non-lexical
owch@co,owch,co,2,non-lexical
owe@v,owe,v,1,lexical
oweee@co,oweee,co,2,non-lexical
oweeee@co,oweeee,co,1,non-lexical
oweeeee@co,oweeeee,co,1,non-lexical
owl@adj,owl,adj,3,lexical
owl@n,owl,n,245,lexical
owlet@n,owlet,n,1,lexical
own@adj,own,adj,172,lexical
own@n,own,n,7,lexical
own@n:gerund,own,n:gerund,1,lexical
own@part,own,part,1,lexical
own@v,own,v,8,lexical
owp@co,owp,co,1,non-lexical
owwa@co,owwa,co,3,non-lexical
owww@co,owww,co,1,non-lexical
owwwwwwchhhh@co,owwwwwwchhhh,co,1,non-lexical
ox@n,ox,n,8,lexical
oy@co,oy,co,1,non-lexical
oyster@n,oyster,n,5,lexical
oz@n:prop,oz,n:prop,1,non-lexical
p@n:let,p,n:let,11,non-lexical
pa@adj,pa,adj,4,lexical
pa@n,pa,n,42,lexical
pablo_picasso@n:prop,pablo_picasso,n:prop,1,non-lexical
pace@n,pace,n,14,lexical
pace@part,pace,part,1,lexical
pace@v,pace,v,1,lexical
pack@n,pack,n,9,lexical
pack@part,pack,part,21,lexical
pack@v,pack,v,26,lexical
package@n,package,n,8,lexical
package@n:gerund,package,n:gerund,1,lexical
packet@n,packet,n,11,lexical
pad@n,pad,n,4,lexical
pad@part,pad,part,1,lexical
pad@v,pad,v,2,lexical
paddle@v,paddle,v,2,lexical
paddock@n,paddock,n,1,lexical
paddy@n,paddy,n,2,lexical
paella@n,paella,n,2,lexical
page@n,page,n,54,lexical
page@v,page,v,2,lexical
pail@adj,pail,adj,1,lexical
pail@n,pail,n,17,lexical
pain@adj,pain,adj,6,lexical
pain@n,pain,n,12,lexical
paint@n,paint,n,56,lexical
paint@n:gerund,paint,n:gerund,3,lexical
paint@part,paint,part,15,lexical
paint@v,paint,v,16,lexical
pair@n,pair,n,50,lexical
pair@part,pair,part,1,lexical
paisley@n,paisley,n,1,lexical
pajama@adj,pajama,adj,5,lexical
pajamas@n,pajamas,n,4,lexical
pal@n,pal,n,4,lexical
palace@n,palace,n,46,lexical
palanquin@n,palanquin,n,4,lexical
pale@adj,pale,adj,23,lexical
pale@n,pale,n,21,lexical
palm@n,palm,n,11,lexical
pamby@wplay,pamby,wplay,1,non-lexical
pamina@n:prop,pamina,n:prop,4,non-lexical
pan@n,pan,n,13,lexical
panama@n:prop,panama,n:prop,4,non-lexical
pancake@n,pancake,n,2,lexical
pane@n,pane,n,5,lexical
panel@v,panel,v,1,lexical
panic@n,panic,n,7,lexical
panic@n:gerund,panic,n:gerund,1,lexical
panic@v,panic,v,1,lexical
pansy@n,pansy,n,1,lexical
pant@n,pant,n,12,lexical
pant@part,pant,part,5,lexical
pant@v,pant,v,42,lexical
pantry@n,pantry,n,1,lexical
pants@n:pt,pants,n:pt,16,lexical
pants_tastic@wplay,pants_tastic,wplay,1,non-lexical
pantsby@n:prop,pantsby,n:prop,1,non-lexical
papa@n,papa,n,35,lexical
paper@n,paper,n,96,lexical
papillion@n:prop,papillion,n:prop,1,non-lexical
paprika@n,paprika,n,4,lexical
parachute@n,parachute,n,1,lexical
parachute@v,parachute,v,1,lexical
parade@n,parade,n,10,lexical
paraffin@n,paraffin,n,1,lexical
parakeet@n,parakeet,n,2,lexical
parallel@adj,parallel,adj,1,lexical
parallel@n,parallel,n,1,lexical
parapet@n,parapet,n,1,lexical
paraphernalia@n,paraphernalia,n,1,lexical
parasol@n,parasol,n,1,lexical
parcel@n,parcel,n,21,lexical
parchment@n,parchment,n,1,lexical
pardon@co,pardon,co,1,non-lexical
pardon@n,pardon,n,9,lexical
pardon@v,pardon,v,1,lexical
parent@n,parent,n,75,lexical
paris@unk,paris,unk,1,non-lexical
park@n,park,n,69,lexical
park@part,park,part,2,lexical
park@v,park,v,2,lexical
parlor@n,parlor,n,1,lexical
parrot@adj,parrot,adj,1,lexical
parrot@n,parrot,n,30,lexical
parrtaay@wplay,parrtaay,wplay,1,non-lexical
parsley@n,parsley,n,2,lexical
part@adj,part,adj,5,lexical
part@adv,part,adv,2,non-lexical
part@n,part,n,38,lexical
part@part,part,part,2,lexical
part@v,part,v,4,lexical
particular@adj,particular,adj,3,lexical
particular@adv,particular,adv,4,lexical
particular@n,particular,n,1,lexical
partner@n,partner,n,1,lexical
party@n,party,n,97,lexical
party@v,party,v,1,lexical
pass@n,pass,n,24,lexical
pass@part,pass,part,11,lexical
pass@v,pass,v,44,lexical
passage@n,passage,n,9,lexical
passel@n,passel,n,2,lexical
passenger@n,passenger,n,11,lexical
passionate@adv,passionate,adv,1,lexical
past@adj,past,adj,86,lexical
past@adv,past,adv,1,lexical
past@n,past,n,2,lexical
pasta@n,pasta,n,5,lexical
paste@n,paste,n,2,lexical
pastor@adj,pastor,adj,1,lexical
pastor@n,pastor,n,2,lexical
pastry@n,pastry,n,1,lexical
pasture@n,pasture,n,3,lexical
pat@n,pat,n,1,lexical
pat@n:prop,pat,n:prop,13,non-lexical
pat@part,pat,part,3,lexical
pat@v,pat,v,10,lexical
pat_a_cake@co,pat_a_cake,co,2,non-lexical
pat_hutchins@n:prop,pat_hutchins,n:prop,1,non-lexical
pat_o'cake@n:prop,pat_o'cake,n:prop,3,non-lexical
pat_thomson@n:prop,pat_thomson,n:prop,1,non-lexical
patagonia@n:prop,patagonia,n:prop,1,non-lexical
patch@n,patch,n,8,lexical
patch@part,patch,part,3,lexical
patch@v,patch,v,1,lexical
patchwork@n,patchwork,n,3,lexical
patent@n,patent,n,1,lexical
path@n,path,n,57,lexical
pathetic@adj,pathetic,adj,1,lexical
pathetic@adv,pathetic,adv,1,lexical
patience@n,patience,n,5,lexical
patient@adj,patient,adj,1,lexical
patient@adv,patient,adv,2,lexical
patient@n,patient,n,4,lexical
patisserie@n,patisserie,n,1,lexical
patriotism@n,patriotism,n,1,lexical
patrol@n,patrol,n,2,lexical
patrol@v,patrol,v,1,lexical
patter@n,patter,n,3,lexical
patter@wplay,patter,wplay,1,non-lexical
pattern@n,pattern,n,6,lexical
paul@adj,paul,adj,4,lexical
paul@n:prop,paul,n:prop,49,non-lexical
paul_biegel@n:prop,paul_biegel,n:prop,1,non-lexical
pause@n,pause,n,5,lexical
pause@part,pause,part,4,lexical
pause@v,pause,v,15,lexical
pave@part,pave,part,2,lexical
pavement@n,pavement,n,15,lexical
paw@adj,paw,adj,3,lexical
paw@n,paw,n,46,lexical
paw@v,paw,v,1,lexical
pay@n,pay,n,11,lexical
pay@n:gerund,pay,n:gerund,1,lexical
pay@part,pay,part,5,lexical
pay@v,pay,v,21,lexical
pc_peters@n:prop,pc_peters,n:prop,6,non-lexical
pea@n,pea,n,27,lexical
peace@adj,peace,adj,6,lexical
peace@adv,peace,adv,2,non-lexical
peace@n,peace,n,16,lexical
peaceable@adv,peaceable,adv,1,lexical
peach@adj,peach,adj,3,lexical
peach@n,peach,n,13,lexical
peacock@adj,peacock,adj,1,lexical
peacock@n,peacock,n,4,lexical
peak@n,peak,n,1,lexical
peak@part,peak,part,1,lexical
peanut@n,peanut,n,3,lexical
pear@n,pear,n,67,lexical
pearl@adj,pearl,adj,3,lexical
pearl@n,pearl,n,21,lexical
peasy@wplay,peasy,wplay,1,non-lexical
pebble@adj,pebble,adj,1,lexical
pebble@n,pebble,n,9,lexical
peck@n,peck,n,111,lexical
peck@part,peck,part,14,lexical
peck@v,peck,v,20,lexical
peculiar@adj,peculiar,adj,8,lexical
peculiar@adv,peculiar,adv,1,lexical
ped@unk,ped,unk,1,non-lexical
pedal@part,pedal,part,3,lexical
pedal@v,pedal,v,4,lexical
pedestrian@n,pedestrian,n,1,lexical
pedlar@n,pedlar,n,2,lexical
pedro@n:prop,pedro,n:prop,3,non-lexical
pee@n,pee,n,1,lexical
pee@v,pee,v,2,lexical
peek@n,peek,n,4,lexical
peek@part,peek,part,2,lexical
peek@v,peek,v,12,lexical
peek_a_boo@co,peek_a_boo,co,1,non-lexical
peel@n,peel,n,2,lexical
peel@n:gerund,peel,n:gerund,1,lexical
peel@part,peel,part,2,lexical
peel@v,peel,v,3,lexical
peep@n,peep,n,9,lexical
peep@part,peep,part,6,lexical
peep@v,peep,v,20,lexical
peer@n,peer,n,4,lexical
peer@part,peer,part,12,lexical
peer@v,peer,v,22,lexical
peg@adj,peg,adj,1,lexical
peg@n,peg,n,5,lexical
pekingese@n:prop,pekingese,n:prop,1,non-lexical
pekoni@adj,pekoni,adj,1,lexical
pekoni@n:prop,pekoni,n:prop,5,non-lexical
pell_mell@adv,pell_mell,adv,1,non-lexical
pen@n,pen,n,27,lexical
pen@v,pen,v,2,lexical
pence@n,pence,n,18,lexical
pencil@n,pencil,n,23,lexical
penguin@n,penguin,n,16,lexical
penny@n,penny,n,10,lexical
penthouse@n,penthouse,n,2,lexical
peony@n,peony,n,20,lexical
pep@n,pep,n,3,lexical
peppa@adj,peppa,adj,1,lexical
peppa@n:prop,peppa,n:prop,89,non-lexical
pepper@n,pepper,n,5,lexical
peppermint@n,peppermint,n,3,lexical
pepperpot@n:prop,pepperpot,n:prop,50,non-lexical
peppy@wplay,peppy,wplay,2,non-lexical
pepsi@n:prop,pepsi,n:prop,1,non-lexical
per@prep,per,prep,1,non-lexical
perambulator@n,perambulator,n,2,lexical
percent@n,percent,n,1,lexical
perch@n,perch,n,3,lexical
perch@part,perch,part,3,lexical
perch@v,perch,v,12,lexical
percival@n:prop,percival,n:prop,1,non-lexical
percy@adj,percy,adj,2,lexical
percy@n:prop,percy,n:prop,30,non-lexical
perfect@adj,perfect,adj,108,lexical
perfect@adv,perfect,adv,25,lexical
perfect@v,perfect,v,88,lexical
perfection@n,perfection,n,2,lexical
perform@n,perform,n,2,lexical
perform@n:gerund,perform,n:gerund,1,lexical
perform@part,perform,part,5,lexical
perform@v,perform,v,11,lexical
performance@n,performance,n,2,lexical
perfume@n,perfume,n,4,lexical
perhaps@adv,perhaps,adv,65,non-lexical
perhaps@co,perhaps,co,36,non-lexical
peril@n,peril,n,1,lexical
period@n,period,n,1,lexical
perk@adj,perk,adj,1,lexical
perk@part,perk,part,1,lexical
perk@v,perk,v,4,lexical
permanent@adj,permanent,adj,1,lexical
permanent@adv,permanent,adv,1,non-lexical
permission@n,permission,n,6,lexical
perpendicular@adj,perpendicular,adj,1,lexical
perplex@part,perplex,part,1,lexical
perregrine_yapper_felt@n:prop,perregrine_yapper_felt,n:prop,2,non-lexical
perry@n:prop,perry,n:prop,1,non-lexical
person@adj,person,adj,6,lexical
person@n,person,n,241,lexical
personage@n,personage,n,1,lexical
personal@adv,personal,adv,1,lexical
personal@n,personal,n,2,lexical
persuade@part,persuade,part,1,lexical
persuade@v,persuade,v,6,lexical
pesky@adj,pesky,adj,1,lexical
pest@n,pest,n,5,lexical
pester@part,pester,part,1,lexical
pester@v,pester,v,2,lexical
pesto@n,pesto,n,1,lexical
pet@adj,pet,adj,10,lexical
pet@n,pet,n,80,lexical
pet@v,pet,v,1,lexical
petal@n,petal,n,12,lexical
pete@adj,pete,adj,1,lexical
pete@n:prop,pete,n:prop,11,non-lexical
peter@adj,peter,adj,56,lexical
peter@n,peter,n,2,lexical
peter@n:prop,peter,n:prop,618,non-lexical
peter@v,peter,v,44,lexical
peter_piper@n:prop,peter_piper,n:prop,3,non-lexical
petrify@part,petrify,part,2,lexical
petrify@v,petrify,v,1,lexical
petticoat@n,petticoat,n,3,lexical
petty@adj,petty,adj,1,lexical
petunia@n,petunia,n,1,lexical
phantom@n,phantom,n,2,lexical
phasmorphobia@n,phasmorphobia,n,1,lexical
pheasant@n,pheasant,n,1,lexical
phenomenal@adj,phenomenal,adj,1,lexical
phew@co,phew,co,13,non-lexical
phil@n:prop,phil,n:prop,1,non-lexical
philibert@n:prop,philibert,n:prop,16,non-lexical
phillipippa@adj,phillipippa,adj,1,lexical
phillipippa@n:prop,phillipippa,n:prop,15,non-lexical
phizz_whizzing@wplay,phizz_whizzing,wplay,1,non-lexical
phizzwizard@n:prop,phizzwizard,n:prop,4,non-lexical
phizzwizards@n:prop,phizzwizards,n:prop,3,non-lexical
phobia@n,phobia,n,4,lexical
phone@n,phone,n,29,lexical
phone@part,phone,part,1,lexical
phone@v,phone,v,6,lexical
phooey@co,phooey,co,1,non-lexical
photo@n,photo,n,2,lexical
photograph@n,photograph,n,2,lexical
phrase@n,phrase,n,1,lexical
physical@adj,physical,adj,1,lexical
pi@n,pi,n,3,lexical
piano@n,piano,n,21,lexical
pibbling@wplay,pibbling,wplay,2,non-lexical
piccadilly@n:prop,piccadilly,n:prop,1,non-lexical
pick@adj,pick,adj,16,lexical
pick@n,pick,n,2,lexical
pick@n:gerund,pick,n:gerund,1,lexical
pick@part,pick,part,14,lexical
pick@v,pick,v,127,lexical
picket@v,picket,v,1,lexical
pickle@n,pickle,n,5,lexical
pickle@v,pickle,v,2,lexical
pickleton@n:prop,pickleton,n:prop,1,non-lexical
picnic@n,picnic,n,16,lexical
picnic@part,picnic,part,1,lexical
picture@n,picture,n,53,lexical
picture@v,picture,v,7,lexical
pie@n,pie,n,55,lexical
piece@n,piece,n,76,lexical
piece@v,piece,v,1,lexical
pieman@n,pieman,n,1,lexical
pierce@adv,pierce,adv,1,non-lexical
pierce@part,pierce,part,5,lexical
pierce@v,pierce,v,1,lexical
pifflefizz@wplay,pifflefizz,wplay,1,non-lexical
piffling@wplay,piffling,wplay,1,non-lexical
pig@adj,pig,adj,12,lexical
pig@n,pig,n,176,lexical
pig@v,pig,v,1,lexical
pig_wiggin@wplay,pig_wiggin,wplay,1,non-lexical
pigeon@adj,pigeon,adj,5,lexical
pigeon@n,pigeon,n,19,lexical
piggen@n:prop,piggen,n:prop,2,non-lexical
piggery_jokery@wplay,piggery_jokery,wplay,1,non-lexical
piggly@wplay,piggly,wplay,2,non-lexical
piggy_pig@wplay,piggy_pig,wplay,2,non-lexical
piggy_wig@wplay,piggy_wig,wplay,1,non-lexical
piggy_wiggies@wplay,piggy_wiggies,wplay,1,non-lexical
piglet@n,piglet,n,36,lexical
pigling@adj,pigling,adj,2,lexical
pigling@n,pigling,n,6,lexical
pigsquibble@wplay,pigsquibble,wplay,1,non-lexical
pigsquiffle@n:prop,pigsquiffle,n:prop,1,non-lexical
pigswiller@wplay,pigswiller,wplay,1,non-lexical
pigwinkles@n:prop,pigwinkles,n:prop,1,non-lexical
pike@part,pike,part,1,lexical
pile@n,pile,n,24,lexical
pile@part,pile,part,2,lexical
pile@v,pile,v,4,lexical
pili@unk,pili,unk,1,non-lexical
pill@n,pill,n,20,lexical
pillow@n,pillow,n,41,lexical
pilot@n,pilot,n,11,lexical
pilot@v,pilot,v,1,lexical
pimp@adj,pimp,adj,11,lexical
pimple@adj,pimple,adj,6,lexical
pin@n,pin,n,11,lexical
pin@part,pin,part,2,lexical
pin@v,pin,v,5,lexical
pinch@adj,pinch,adj,2,lexical
pinch@n,pinch,n,19,lexical
pinch@part,pinch,part,1,lexical
pinch@v,pinch,v,4,lexical
pine@n,pine,n,7,lexical
pineapple@n,pineapple,n,4,lexical
pinecone@n,pinecone,n,2,lexical
ping@adj,ping,adj,1,lexical
ping@n,ping,n,6,lexical
ping@part,ping,part,1,lexical
ping@v,ping,v,7,lexical
ping_pong@n,ping_pong,n,1,non-lexical
pinhead@n,pinhead,n,1,lexical
pink@adj,pink,adj,46,lexical
pink@adv,pink,adv,1,lexical
pink@n,pink,n,25,lexical
pinkie@n:prop,pinkie,n:prop,1,non-lexical
pinky@adj,pinky,adj,1,lexical
pinky@n:prop,pinky,n:prop,4,non-lexical
pinpoint@n,pinpoint,n,1,lexical
pinpoint@v,pinpoint,v,1,lexical
pint@n,pint,n,6,lexical
pip@n,pip,n,4,lexical
pipe@n,pipe,n,9,lexical
pipe@part,pipe,part,1,lexical
pipe@v,pipe,v,4,lexical
piper@adj,piper,adj,1,lexical
piper@n,piper,n,22,lexical
pippy@wplay,pippy,wplay,2,non-lexical
pipsqueak@n,pipsqueak,n,1,lexical
pirate@n,pirate,n,37,lexical
pirouette@n,pirouette,n,1,lexical
pistachio@n,pistachio,n,1,lexical
pistol@n,pistol,n,3,lexical
pit@n,pit,n,12,lexical
pitch@n,pitch,n,6,lexical
pitch@v,pitch,v,1,lexical
pitcher@n,pitcher,n,2,lexical
pitter@wplay,pitter,wplay,1,non-lexical
pity@adv,pity,adv,1,non-lexical
