lempos,lemma,PoS_CLAN,n,PoS_type
borborygmums@n,borborygmums,n,1,lexical
borborygmus@n,borborygmus,n,1,lexical
bordeaux@unk,bordeaux,unk,1,non-lexical
border@n,border,n,3,lexical
border@part,border,part,1,lexical
bore@n:gerund,bore,n:gerund,1,lexical
bore@part,bore,part,26,lexical
bore@v,bore,v,2,lexical
born@adj,born,adj,18,lexical
borrow@part,borrow,part,1,lexical
borrow@v,borrow,v,17,lexical
borus@n:prop,borus,n:prop,1,non-lexical
bosom@n,bosom,n,1,lexical
boss@adj,boss,adj,10,lexical
boss@n,boss,n,5,lexical
boss@part,boss,part,1,lexical
boss@v,boss,v,2,lexical
bossyboots@wplay,bossyboots,wplay,2,non-lexical
botany@n,botany,n,4,lexical
both@post,both,post,40,non-lexical
both@qn,both,qn,65,non-lexical
bother@n,bother,n,1,lexical
bother@part,bother,part,6,lexical
bother@v,bother,v,26,lexical
bottle@n,bottle,n,99,lexical
bottle@v,bottle,v,3,lexical
bottle_wart@n:prop,bottle_wart,n:prop,1,non-lexical
bottom@adj,bottom,adj,20,lexical
bottom@n,bottom,n,73,lexical
bottomley_potts@n:prop,bottomley_potts,n:prop,5,non-lexical
boudicca@n:prop,boudicca,n:prop,1,non-lexical
bouf@co,bouf,co,5,non-lexical
bough@n,bough,n,5,lexical
boulder@n,boulder,n,5,lexical
bounce@n,bounce,n,13,lexical
bounce@part,bounce,part,16,lexical
bounce@v,bounce,v,16,lexical
bounceberry@n:prop,bounceberry,n:prop,1,non-lexical
bouncy@co,bouncy,co,3,non-lexical
bouncy_bounce@wplay,bouncy_bounce,wplay,1,non-lexical
bound@n,bound,n,15,lexical
bound@part,bound,part,4,lexical
bound@v,bound,v,10,lexical
bow@n,bow,n,43,lexical
bow@n:gerund,bow,n:gerund,1,lexical
bow@part,bow,part,1,lexical
bow@v,bow,v,11,lexical
bowl@n,bowl,n,48,lexical
bowl@v,bowl,v,1,lexical
box@adj,box,adj,1,lexical
box@n,box,n,141,lexical
